iter	Passed	Remaining
662	1464	744
663	1466	742
664	1468	739
665	1471	737
666	1473	735
667	1475	733
668	1477	731
669	1480	729
670	1482	726
671	1484	724
672	1486	722
673	1488	719
674	1490	717
675	1492	715
676	1495	713
677	1497	711
678	1499	708
679	1501	706
680	1503	704
681	1505	701
682	1507	699
683	1509	697
684	1511	695
685	1513	692
686	1515	690
687	1517	688
688	1519	686
689	1521	683
690	1524	681
691	1526	679
692	1528	677
693	1530	675
694	1533	672
695	1535	670
696	1537	668
697	1540	666
698	1543	664
699	1545	662
700	1547	660
701	1549	657
702	1551	655
703	1553	653
704	1556	651
705	1559	649
706	1561	647
707	1563	644
708	1566	642
709	1569	640
710	1571	638
711	1574	636
712	1576	634
713	1578	632
714	1580	629
715	1582	627
716	1585	625
717	1589	624
718	1591	622
719	1594	619
720	1596	617
721	1598	615
722	1600	613
723	1603	611
724	1605	608
725	1607	606
726	1609	604
727	1611	601
728	1613	599
729	1616	597
730	1618	595
731	1620	593
732	1622	591
733	1624	588
734	1627	586
735	1629	584
736	1631	582
737	1634	580
738	1637	578
739	1640	576
740	1642	574
741	1645	572
742	1647	569
743	1649	567
744	1651	565
745	1653	563
746	1655	560
747	1657	558
748	1659	556
749	1661	553
750	1663	551
751	1665	549
752	1667	547
753	1669	544
754	1671	542
755	1674	540
756	1676	538
757	1678	535
758	1680	533
759	1682	531
760	1684	528
761	1686	526
762	1687	524
763	1689	521
764	1691	519
765	1694	517
766	1696	515
767	1698	513
768	1700	510
769	1702	508
770	1704	506
771	1706	503
772	1708	501
773	1710	499
774	1713	497
775	1715	495
776	1717	492
777	1722	491
778	1725	489
779	1727	487
780	1729	485
781	1731	482
782	1733	480
783	1736	478
784	1738	476
785	1740	473
786	1742	471
787	1744	469
788	1746	467
789	1749	464
790	1751	462
791	1753	460
792	1755	458
793	1757	455
794	1759	453
795	1761	451
796	1763	449
797	1765	446
798	1767	444
799	1769	442
800	1771	440
801	1773	437
802	1775	435
803	1777	433
804	1778	430
805	1780	428
806	1782	426
807	1784	424
808	1787	421
809	1789	419
810	1790	417
811	1792	415
812	1794	412
813	1796	410
814	1798	408
815	1800	406
816	1802	403
817	1804	401
818	1806	399
819	1808	397
820	1810	394
821	1813	392
822	1815	390
823	1817	388
824	1819	385
825	1821	383
826	1823	381
827	1825	379
828	1827	376
829	1829	374
830	1831	372
831	1834	370
832	1836	368
833	1838	365
834	1840	363
835	1842	361
836	1844	359
837	1846	357
838	1848	354
839	1851	352
840	1853	350
841	1855	348
842	1857	345
843	1859	343
844	1861	341
845	1863	339
846	1865	336
847	1867	334
848	1869	332
849	1871	330
850	1873	328
851	1875	325
852	1877	323
853	1879	321
854	1881	319
855	1883	316
856	1885	314
857	1887	312
858	1889	310
859	1892	308
860	1894	305
861	1896	303
862	1898	301
863	1900	299
864	1901	296
865	1903	294
866	1905	292
867	1907	290
868	1911	288
869	1913	285
870	1915	283
871	1917	281
872	1918	279
873	1920	276
874	1923	274
875	1925	272
876	1927	270
877	1929	268
878	1931	265
879	1934	263
880	1936	261
881	1938	259
882	1940	257
883	1942	254
884	1944	252
885	1947	250
886	1949	248
887	1951	246
888	1953	243
889	1958	242
890	1960	239
891	1963	237
892	1965	235
893	1967	233
894	1969	231
895	1971	228
896	1973	226
897	1975	224
898	1977	222
899	1978	219
900	1980	217
901	1982	215
902	1985	213
903	1987	211
904	1989	208
905	1991	206
906	1993	204
907	1995	202
908	1997	199
909	1999	197
910	2001	195
911	2003	193
912	2005	191
913	2007	188
914	2009	186
915	2011	184
916	2012	182
917	2015	179
918	2017	177
919	2019	175
920	2021	173
921	2022	171
922	2024	168
923	2026	166
